       Wavelength             Transmission
2.000760999999999790e+00 6.967181920611440621e-03
2.002759000000000178e+00 6.956650920611440365e-03
2.004759000000000402e+00 6.945582420611440266e-03
2.006760000000000321e+00 6.991930920611439879e-03
2.008764000000000216e+00 7.003003920611440211e-03
2.010769999999999946e+00 6.968169920611440131e-03
2.012777999999999956e+00 6.953486420611440684e-03
2.014787999999999801e+00 6.921081920611440313e-03
2.016799000000000230e+00 6.989788920611440630e-03
2.018813000000000191e+00 6.944930920611439712e-03
2.020828999999999986e+00 7.057424420611440284e-03
2.022847000000000062e+00 6.956927920611440282e-03
2.024866999999999972e+00 6.933074920611440387e-03
2.026888999999999719e+00 6.973326420611439952e-03
2.028912999999999744e+00 7.041871420611440537e-03
2.030939000000000050e+00 6.968615420611439827e-03
2.032967000000000191e+00 7.005174920611440675e-03
2.034997000000000167e+00 6.993189920611439861e-03
2.037028999999999979e+00 6.974465420611440647e-03
2.039063000000000070e+00 6.914831920611440134e-03
2.041098999999999997e+00 7.046019420611440362e-03
2.043136999999999759e+00 6.912603920611440182e-03
2.045176999999999801e+00 6.942225920611440164e-03
2.047219000000000122e+00 6.986502920611439849e-03
2.049263999999999974e+00 6.918429420611440020e-03
2.051309999999999967e+00 6.957666420611440146e-03
2.053357999999999794e+00 7.015469420611439647e-03
2.055407999999999902e+00 6.948692920611440615e-03
2.057460999999999984e+00 6.933848920611439780e-03
2.059515000000000207e+00 6.921996920611440084e-03
2.061571999999999960e+00 6.976859920611439697e-03
2.063629999999999853e+00 6.917189420611440445e-03
2.065690999999999722e+00 6.984255420611439752e-03
2.067753999999999870e+00 6.953490420611440313e-03
2.069818000000000158e+00 6.913031920611439549e-03
2.071884999999999977e+00 6.906824920611440155e-03
2.073954000000000075e+00 6.907285420611440629e-03
2.076025000000000009e+00 6.985744420611440103e-03
2.078098000000000223e+00 6.912185920611440756e-03
2.080172999999999828e+00 6.936949420611440188e-03
2.082249999999999712e+00 7.025396420611440366e-03
2.084328999999999876e+00 6.920789420611439882e-03
2.086411000000000016e+00 6.952988920611439735e-03
2.088493999999999851e+00 6.912186420611440493e-03
2.090578999999999965e+00 6.958286920611439670e-03
2.092667000000000055e+00 6.912155920611440067e-03
2.094755999999999840e+00 6.913355420611440143e-03
2.096848000000000045e+00 6.914989920611440237e-03
2.098941999999999641e+00 6.911734420611439882e-03
2.101037999999999961e+00 6.915382920611439811e-03
2.103136000000000116e+00 6.925729920611439772e-03
2.105236000000000107e+00 6.912394420611440299e-03
2.107337999999999933e+00 6.922712420611440778e-03
2.109442000000000039e+00 6.966282920611440235e-03
2.111548999999999676e+00 6.957898920611440066e-03
2.113656999999999897e+00 6.910879920611440359e-03
2.115768000000000093e+00 6.926505420611440110e-03
2.117879999999999985e+00 6.916337420611439607e-03
2.119995000000000296e+00 6.919139420611440140e-03
2.122111999999999998e+00 6.993455920611440363e-03
2.124230999999999980e+00 6.937257420611440267e-03
2.126352000000000242e+00 6.912758420611440392e-03
2.128474999999999895e+00 6.927970420611440083e-03
2.130600999999999967e+00 6.992606420611439944e-03
2.132727999999999735e+00 6.918204420611440489e-03
2.134858000000000366e+00 6.914275920611440487e-03
2.136990000000000389e+00 7.026058920611440335e-03
2.139123000000000108e+00 7.001962420611440238e-03
2.141259000000000245e+00 6.918212920611440352e-03
2.143397999999999914e+00 7.055524920611440029e-03
2.145537999999999723e+00 6.928943920611440287e-03
2.147680000000000256e+00 6.981103920611440167e-03
2.149825000000000319e+00 7.024166420611439865e-03
2.151971000000000078e+00 6.939914420611439927e-03
2.154119999999999813e+00 6.996978420611440694e-03
2.156270999999999827e+00 6.992141420611440103e-03
2.158424000000000120e+00 6.927820420611440107e-03
2.160579999999999945e+00 6.956988920611440266e-03
2.162736999999999910e+00 6.917628920611439830e-03
2.164896999999999849e+00 6.975115420611440256e-03
2.167057999999999929e+00 7.042438420611439598e-03
2.169221999999999984e+00 6.959141920611439797e-03
2.171388000000000318e+00 7.033428420611440197e-03
2.173556000000000044e+00 6.945246920611439917e-03
2.175726999999999745e+00 6.945989420611440278e-03
2.177899000000000029e+00 6.927937420611440106e-03
2.180073999999999845e+00 6.958966420611440232e-03
2.182250999999999941e+00 6.962964920611439817e-03
2.184430000000000316e+00 7.023675920611440436e-03
2.186611000000000082e+00 6.988139920611440362e-03
2.188795000000000268e+00 7.052918920611439546e-03
2.190980000000000150e+00 6.981323420611440858e-03
2.193168000000000006e+00 7.039615420611440577e-03
2.195357999999999699e+00 7.093383920611440359e-03
2.197549999999999670e+00 7.019344420611440052e-03
2.199743999999999922e+00 6.977502420611439785e-03
2.201941000000000148e+00 7.172429920611440510e-03
2.204140000000000210e+00 7.017809920611440232e-03
2.206341000000000108e+00 7.018645420611440214e-03
2.208543999999999841e+00 6.989789420611440367e-03
2.210749000000000297e+00 6.960469920611439890e-03
2.212957000000000285e+00 7.116316920611440514e-03
2.215165999999999968e+00 6.978032420611440106e-03
2.217378000000000071e+00 7.020944420611440091e-03
2.219592000000000009e+00 6.972025920611440129e-03
2.221808999999999923e+00 7.060210420611440565e-03
2.224026999999999976e+00 7.013439420611440427e-03
2.226248000000000005e+00 7.009180420611440046e-03
2.228471000000000313e+00 7.011931920611440272e-03
2.230696000000000012e+00 7.080267920611440710e-03
2.232924000000000131e+00 6.964768920611440033e-03
2.235152999999999945e+00 6.984951420611440302e-03
2.237385000000000179e+00 7.011071420611440438e-03
2.239618999999999804e+00 7.101518920611440619e-03
2.241856000000000293e+00 6.994879920611440233e-03
2.244094000000000033e+00 6.975374920611439843e-03
2.246334999999999749e+00 7.198797920611440214e-03
2.248578000000000188e+00 7.029597420611440051e-03
2.250823000000000018e+00 7.108391920611439874e-03
2.253070999999999824e+00 7.041439420611439806e-03
2.255321000000000353e+00 7.141788420611440251e-03
2.257573000000000274e+00 6.997947420611440664e-03
2.259827000000000030e+00 7.032400420611440058e-03
2.262083999999999762e+00 7.008331920611439968e-03
2.264342000000000077e+00 7.110702420611439770e-03
2.266602999999999923e+00 7.018551920611439988e-03
2.268867000000000189e+00 7.190885420611439934e-03
2.271132000000000151e+00 7.000224420611439978e-03
2.273400000000000087e+00 7.066562420611439965e-03
2.275670000000000304e+00 7.000410420611440088e-03
2.277942000000000355e+00 7.031435420611440584e-03
2.280216999999999938e+00 7.030488420611440310e-03
2.282493999999999801e+00 7.005760420611440407e-03
2.284772999999999943e+00 7.014519920611439821e-03
2.287053999999999920e+00 7.081165920611439887e-03
2.289337999999999873e+00 7.040881920611440081e-03
2.291624000000000105e+00 7.006139920611440149e-03
2.293912000000000173e+00 7.036387920611440229e-03
2.296203000000000216e+00 7.123511920611440285e-03
2.298496000000000095e+00 7.039052920611440015e-03
2.300790999999999809e+00 7.101795920611439668e-03
2.303088000000000246e+00 7.089084920611440216e-03
2.305388000000000215e+00 7.023317920611440654e-03
2.307690000000000019e+00 7.025460420611440507e-03
2.309994000000000103e+00 7.127150420611440274e-03
2.312301000000000162e+00 7.040040920611440392e-03
2.314610000000000056e+00 7.100007920611439705e-03
2.316921000000000230e+00 7.017375420611439950e-03
2.319234999999999935e+00 7.115894920611440591e-03
2.321550999999999920e+00 7.009361920611439922e-03
2.323869000000000185e+00 7.110084920611440401e-03
2.326189000000000284e+00 7.068438420611440447e-03
2.328512000000000359e+00 7.149078420611440325e-03
2.330837000000000270e+00 7.008957920611440066e-03
2.333165000000000155e+00 7.047460920611439694e-03
2.335494000000000181e+00 7.023457920611439823e-03
2.337826000000000182e+00 7.030653420611440198e-03
2.340161000000000158e+00 7.069449920611439731e-03
2.342497000000000273e+00 7.028703420611440503e-03
2.344837000000000060e+00 7.071007420611440455e-03
2.347177999999999987e+00 7.026849420611439717e-03
2.349521999999999888e+00 7.129678420611440179e-03
2.351867999999999626e+00 7.042487420611439827e-03
2.354215999999999642e+00 7.034849920611440516e-03
2.356567000000000078e+00 7.004961920611440032e-03
2.358919999999999906e+00 7.174020920611440082e-03
