       Wavelength             Transmission
1.000888999999999918e+00 6.798168999999999740e-03
1.001887999999999890e+00 6.584837000000000502e-03
1.002889000000000141e+00 6.545678000000000087e-03
1.003889999999999949e+00 6.716958999999999777e-03
1.004892999999999814e+00 6.468592999999999912e-03
1.005896000000000123e+00 6.574522000000001046e-03
1.006900000000000128e+00 6.344319000000000174e-03
1.007905999999999969e+00 6.437837999999999547e-03
1.008911999999999809e+00 6.456021999999999629e-03
1.009919999999999929e+00 6.368069999999999981e-03
1.010928000000000049e+00 6.616196999999999877e-03
1.011938000000000004e+00 6.734297999999999673e-03
1.012947999999999960e+00 6.374568000000000595e-03
1.013959999999999972e+00 6.457020999999999421e-03
1.014972000000000207e+00 6.467731000000000001e-03
1.015985999999999834e+00 6.680034999999999966e-03
1.016999999999999904e+00 6.463330000000000637e-03
1.018016000000000032e+00 6.359506000000000013e-03
1.019031999999999938e+00 6.522629000000000274e-03
1.020050000000000123e+00 6.762586000000000118e-03
1.021068000000000087e+00 6.574665000000000370e-03
1.022088000000000108e+00 6.392242000000000236e-03
1.023107999999999906e+00 6.438298999999999758e-03
1.024129999999999985e+00 6.818330000000000050e-03
1.025152999999999981e+00 6.425279000000000754e-03
1.026175999999999977e+00 6.354262999999999752e-03
1.027200999999999809e+00 6.489021000000001066e-03
1.028227000000000002e+00 6.389643000000000406e-03
1.029252999999999973e+00 6.698579999999999986e-03
1.030281000000000002e+00 6.404092999999999591e-03
1.031309999999999949e+00 6.345298999999999558e-03
1.032340000000000035e+00 6.588741000000000389e-03
1.033371000000000040e+00 6.313848999999999850e-03
1.034402000000000044e+00 6.250532000000000483e-03
1.035434999999999883e+00 6.261415999999999683e-03
1.036468999999999863e+00 6.287715999999999618e-03
1.037503999999999982e+00 6.408197000000000025e-03
1.038540000000000019e+00 6.346960000000000449e-03
1.039576999999999973e+00 6.272675000000000126e-03
1.040615000000000068e+00 6.291689000000000483e-03
1.041653999999999858e+00 6.346591999999999859e-03
1.042694000000000010e+00 6.269867000000000148e-03
1.043735999999999997e+00 6.604824999999999932e-03
1.044777999999999984e+00 6.505716999999999403e-03
1.045820999999999890e+00 6.309685000000000640e-03
1.046864999999999934e+00 6.520721999999999630e-03
1.047911000000000037e+00 6.278082999999999407e-03
1.048956999999999917e+00 6.411229000000000060e-03
1.050003999999999937e+00 6.474703000000000055e-03
1.051053000000000015e+00 6.560894000000000274e-03
1.052101999999999871e+00 6.721715000000000502e-03
1.053153000000000006e+00 6.217104000000000207e-03
1.054204999999999837e+00 6.232332000000000150e-03
1.055256999999999890e+00 6.518213999999999606e-03
1.056311000000000000e+00 6.230348000000000136e-03
1.057366000000000028e+00 6.666716000000000482e-03
1.058421999999999974e+00 6.248458999999999611e-03
1.059477999999999920e+00 6.586212000000000143e-03
1.060535999999999923e+00 6.214535999999999671e-03
1.061595000000000066e+00 6.294893000000000190e-03
1.062655000000000127e+00 6.580032999999999022e-03
1.063717000000000024e+00 6.223328000000000193e-03
1.064778999999999920e+00 6.186380999999999478e-03
1.065841999999999956e+00 6.563295000000000240e-03
1.066906000000000132e+00 6.555800999999999989e-03
1.067972000000000143e+00 6.153752999999999654e-03
1.069038000000000155e+00 6.506193000000000393e-03
1.070105000000000084e+00 6.283183000000000344e-03
1.071173999999999848e+00 6.637338999999999913e-03
1.072243999999999975e+00 6.534269000000000535e-03
1.073313999999999879e+00 6.171081000000000136e-03
1.074386000000000063e+00 6.130214000000001016e-03
1.075458999999999943e+00 6.140613999999999968e-03
1.076532999999999962e+00 6.459190999999999544e-03
1.077608000000000121e+00 6.607785000000000568e-03
1.078683999999999976e+00 6.829363999999999227e-03
1.079760999999999971e+00 6.382086999999999830e-03
1.080838999999999883e+00 6.384527000000000084e-03
1.081917999999999935e+00 6.637948000000000286e-03
1.082999000000000045e+00 6.229188000000000086e-03
1.084079999999999933e+00 6.361078000000000045e-03
1.085161999999999960e+00 6.349088000000000995e-03
